,N,f,Fisher,kappa,inc_org
403,453,0.45000000000000007,False,70,0
404,426,0.50000000000000011,False,10,3
405,107,0.55000000000000016,False,20,78
406,282,0.6000000000000002,False,10,80
407,479,0.65000000000000013,False,20,35
408,332,0.70000000000000018,False,25,29
409,428,0.75000000000000022,False,30,28
410,372,0.80000000000000016,True,15,44
411,279,0.8500000000000002,True,20,24
412,347,0.90000000000000024,True,10,18
413,218,0.95000000000000029,True,15,47
414,272,0.10000000000000001,False,60,15
415,61,0.15000000000000002,False,10,87
416,112,0.20000000000000004,True,55,78
417,142,0.25000000000000006,False,50,64
418,79,0.30000000000000004,False,75,37
419,11,0.35000000000000009,True,5,7
420,35,0.40000000000000013,True,70,83
421,106,0.45000000000000007,False,65,38
422,142,0.50000000000000011,False,45,45
423,404,0.55000000000000016,False,40,61
424,66,0.6000000000000002,False,45,61
425,182,0.65000000000000013,False,35,43
426,309,0.70000000000000018,False,55,8
427,194,0.75000000000000022,True,35,78
428,30,0.80000000000000016,True,20,76
429,482,0.8500000000000002,False,20,81
430,226,0.90000000000000024,True,20,75
431,399,0.95000000000000029,True,30,0
432,81,0.10000000000000001,False,70,6
433,106,0.15000000000000002,False,25,62
434,286,0.20000000000000004,False,65,85
435,460,0.25000000000000006,False,40,48
436,454,0.30000000000000004,False,55,52
437,219,0.35000000000000009,False,65,14
438,302,0.40000000000000013,True,75,86
439,148,0.45000000000000007,False,60,21
440,391,0.50000000000000011,False,40,36
441,62,0.55000000000000016,False,60,67
442,362,0.6000000000000002,False,35,1
443,216,0.65000000000000013,True,70,74
444,172,0.70000000000000018,True,60,40
445,333,0.75000000000000022,False,35,68
446,64,0.80000000000000016,True,55,47
447,343,0.8500000000000002,False,65,53
448,191,0.90000000000000024,True,10,6
449,325,0.95000000000000029,True,55,88
450,444,0.10000000000000001,False,55,44
451,368,0.15000000000000002,False,65,19
452,488,0.20000000000000004,False,75,49
453,359,0.25000000000000006,False,75,25
454,332,0.30000000000000004,True,75,80
455,276,0.35000000000000009,False,25,51
456,17,0.40000000000000013,True,60,46
457,217,0.45000000000000007,False,75,10
458,70,0.50000000000000011,False,25,41
459,42,0.55000000000000016,True,40,22
460,409,0.6000000000000002,True,70,81
461,421,0.65000000000000013,False,10,86
462,150,0.70000000000000018,True,25,82
463,37,0.75000000000000022,True,40,2
464,441,0.80000000000000016,False,35,23
465,99,0.8500000000000002,True,35,65
466,13,0.90000000000000024,True,25,8
467,171,0.95000000000000029,True,60,18
468,385,0.10000000000000001,False,75,12
469,187,0.15000000000000002,False,10,11
470,398,0.20000000000000004,False,40,38
471,101,0.25000000000000006,False,5,73
472,42,0.30000000000000004,True,65,81
473,383,0.35000000000000009,False,45,26
474,308,0.40000000000000013,False,40,88
475,373,0.45000000000000007,False,20,28
476,469,0.50000000000000011,False,35,4
477,323,0.55000000000000016,False,30,50
478,177,0.6000000000000002,False,10,28
479,168,0.65000000000000013,False,10,43
480,201,0.70000000000000018,True,60,87
481,423,0.75000000000000022,False,30,31
482,110,0.80000000000000016,True,50,73
483,336,0.8500000000000002,True,55,80
484,392,0.90000000000000024,True,50,3
485,219,0.95000000000000029,True,65,85
486,269,0.10000000000000001,False,30,32
487,190,0.15000000000000002,False,25,46
488,486,0.20000000000000004,False,5,7
489,64,0.25000000000000006,False,45,58
490,499,0.30000000000000004,False,25,6
491,243,0.35000000000000009,False,40,56
492,206,0.40000000000000013,False,55,54
493,17,0.45000000000000007,True,25,3
494,458,0.50000000000000011,False,50,48
495,337,0.55000000000000016,True,20,69
496,177,0.6000000000000002,False,40,57
497,424,0.65000000000000013,True,40,68
498,376,0.70000000000000018,True,35,63
499,74,0.75000000000000022,True,5,15
500,419,0.80000000000000016,True,25,65
501,372,0.8500000000000002,True,35,53
502,188,0.90000000000000024,True,35,64
503,70,0.95000000000000029,True,10,4
504,175,0.10000000000000001,False,70,19
505,69,0.15000000000000002,False,75,18
506,127,0.20000000000000004,False,75,71
507,359,0.25000000000000006,False,65,5
508,248,0.30000000000000004,True,30,79
509,165,0.35000000000000009,False,45,21
510,302,0.40000000000000013,True,60,83
511,151,0.45000000000000007,False,70,36
512,418,0.50000000000000011,False,5,58
513,314,0.55000000000000016,False,55,2
514,419,0.6000000000000002,False,40,1
515,435,0.65000000000000013,False,25,42
516,410,0.70000000000000018,False,75,14
517,423,0.75000000000000022,True,25,69
518,184,0.80000000000000016,False,60,31
519,444,0.8500000000000002,False,50,39
520,263,0.90000000000000024,True,10,43
521,419,0.95000000000000029,True,70,54
522,34,0.10000000000000001,False,15,30
523,424,0.15000000000000002,False,50,9
524,346,0.20000000000000004,False,15,30
525,143,0.25000000000000006,False,45,45
526,392,0.30000000000000004,False,45,40
527,321,0.35000000000000009,False,30,40
528,285,0.40000000000000013,False,40,31
529,264,0.45000000000000007,False,50,88
530,14,0.50000000000000011,True,50,9
531,445,0.55000000000000016,False,40,37
532,282,0.6000000000000002,False,70,28
533,381,0.65000000000000013,False,50,39
534,195,0.70000000000000018,False,55,12
535,195,0.75000000000000022,False,60,38
536,292,0.80000000000000016,False,70,68
537,298,0.8500000000000002,True,25,36
538,305,0.90000000000000024,True,55,80
539,71,0.95000000000000029,True,75,77
540,119,0.10000000000000001,False,45,2
541,62,0.15000000000000002,False,30,12
542,166,0.20000000000000004,False,25,16
543,61,0.25000000000000006,False,30,65
544,110,0.30000000000000004,False,15,28
545,460,0.35000000000000009,False,15,31
546,465,0.40000000000000013,False,5,27
547,261,0.45000000000000007,False,40,18
548,224,0.50000000000000011,False,45,16
549,12,0.55000000000000016,True,40,2
550,156,0.6000000000000002,True,60,54
551,483,0.65000000000000013,False,15,5
552,123,0.70000000000000018,False,15,84
553,440,0.75000000000000022,False,20,74
554,280,0.80000000000000016,True,65,28
555,182,0.8500000000000002,True,35,54
556,431,0.90000000000000024,True,35,25
557,466,0.95000000000000029,True,55,40
558,218,0.10000000000000001,False,75,57
559,83,0.15000000000000002,False,30,63
560,51,0.20000000000000004,False,70,44
561,247,0.25000000000000006,False,5,67
562,474,0.30000000000000004,False,45,81
563,104,0.35000000000000009,False,50,38
564,140,0.40000000000000013,False,60,13
565,117,0.45000000000000007,False,75,8
566,488,0.50000000000000011,False,50,17
567,54,0.55000000000000016,True,25,59
568,144,0.6000000000000002,False,30,16
569,94,0.65000000000000013,False,5,31
570,397,0.70000000000000018,False,45,57
571,12,0.75000000000000022,True,20,13
572,464,0.80000000000000016,False,70,12
573,99,0.8500000000000002,False,30,5
574,117,0.90000000000000024,True,70,86
575,189,0.95000000000000029,False,60,2
576,156,0.10000000000000001,False,10,65
577,47,0.15000000000000002,False,20,26
578,60,0.20000000000000004,False,5,80
579,140,0.25000000000000006,False,65,27
580,306,0.30000000000000004,False,55,52
581,277,0.35000000000000009,True,45,88
582,252,0.40000000000000013,False,30,7
583,220,0.45000000000000007,False,10,32
